"Год","Регион","Всего регистраций","0-13","14-17","18-24","25-35","36-55","55+"
2022,Мурманская область,10304,363,3136,1474,1960,2993,378
2022,Ненецкий автономный округ,541,42,245,112,57,78,7
2022,Нижегородская область,52351,1401,8757,13490,14726,12725,1253
2022,Новгородская область,10446,560,4034,2460,1274,1743,376
2022,Новосибирская область,12575,549,4399,3145,1817,2187,478
2022,Омская область,10505,198,3063,3230,1520,2159,335
2022,Оренбургская область,22488,1204,12424,4441,1843,2240,336
2022,Орловская область,6243,162,2628,1812,546,946,149
2022,Пензенская область,10219,711,4562,2007,1298,1416,225
2022,Пермский край,13910,245,3709,3522,2330,3520,584
2022,Приморский край,13616,560,5091,3295,1470,2449,751
2022,Псковская область,4874,132,2000,1640,474,567,61
2022,Республика Адыгея,11395,3232,5476,1076,590,872,150
2022,Республика Алтай,3724,120,1269,729,608,746,252
2022,Республика Башкортостан,39555,832,18439,9227,3821,6181,1058
2022,Республика Бурятия,12255,505,5930,2461,1203,1778,379
2022,Республика Дагестан,49305,11820,23383,5573,3173,4676,683
2022,Республика Ингушетия,3171,8,900,1147,523,494,99
2022,Республика Калмыкия,2195,52,1060,584,192,249,58
2022,Республика Карелия,3580,68,1200,1095,411,663,145
2022,Республика Коми,7313,763,3429,1071,681,1057,312
2022,Республика Крым,9437,422,3766,2409,1116,1521,203
2022,Республика Марий Эл,7676,416,3718,1773,571,896,302
2022,Республика Мордовия,8394,188,4488,2144,526,887,161
2022,Республика Саха (Якутия),6123,203,2196,1686,713,795,530
2022,Республика Северная Осетия - Алания,11658,209,3400,3123,1500,2750,676
2022,Республика Татарстан (Татарстан),19769,397,6729,6079,2658,3364,543
2022,Республика Тыва,4045,72,1548,1394,584,401,46
2022,Республика Хакасия,6304,176,3669,1070,630,553,206
2022,Ростовская область,56075,1749,26043,13927,5237,7782,1337
2022,Рязанская область,15794,1369,6320,3268,1986,2476,377
2022,Самарская область,59219,5281,28048,11756,4501,7122,2512
2022,Санкт-Петербург,37523,1021,9932,13285,5995,6302,988
2022,Саратовская область,34854,4772,16964,5131,2973,4264,752
2022,Сахалинская область,5456,615,1821,818,758,1012,432
2022,Свердловская область,33044,1443,13387,7475,4074,5790,876
2022,Севастополь,5764,200,1722,2439,554,712,137
2022,Смоленская область,6020,319,3162,1344,442,620,134
2022,Ставропольский край,17226,364,7069,3272,2181,3313,1027
2022,Тамбовская область,8552,438,4043,2921,500,564,86
2022,Тверская область,7260,132,2726,1793,1088,1332,189
2022,Томская область,8983,119,3152,2337,1335,1861,179
2022,Тульская область,34751,1924,15035,7567,3787,5611,829
2022,Тюменская область,18268,1240,7158,4198,2045,2738,890
2022,Удмуртская Республика,13514,725,5588,2047,1819,2859,476
2022,Ульяновская область,13659,342,7030,2982,1046,1371,888
2022,Хабаровский край,7489,391,2746,1607,1201,1342,202
2022,Ханты-Мансийский автономный округ - Югра,18409,700,6743,3709,2763,3709,785
2022,Херсонская область,160,8,101,25,9,13,4
2022,Челябинская область,30666,1256,11149,6806,4365,6032,1059
2022,Чеченская Республика,7664,21,581,3006,2182,1657,219
2022,Чувашская Республика - Чувашия,21154,1167,11402,5530,1032,1513,513
2022,Чукотский автономный округ,497,34,210,138,46,61,8
2022,Ямало-Ненецкий автономный округ,9981,1042,3457,959,1582,2528,414
2022,Ярославская область,10730,117,5118,2674,1132,1363,326
2021,"",272,19,136,75,23,14,5
2021,Алтайский край,8839,206,2921,2840,1091,1531,250
2021,Амурская область,4312,162,1764,1009,517,701,159
2021,Архангельская область,4480,177,1637,1326,587,659,94
2021,Астраханская область,6561,189,2107,1582,952,1433,298
2021,Белгородская область,7734,267,2800,2073,1095,1247,252
2021,Брянская область,4416,312,2240,1017,348,441,58
2021,Владимирская область,3785,62,1612,1155,464,419,73
2021,Волгоградская область,15677,1907,6729,3757,1239,1613,431
2021,Вологодская область,7459,107,1116,1829,1839,2291,277
2021,Воронежская область,12323,177,5475,2985,1345,2022,319
2021,Донецкая Народная Республика,16,0,2,6,5,3,0
2021,Еврейская автономная область,1125,124,468,337,77,85,34
2021,Забайкальский край,3268,85,1066,1013,444,592,68
2021,Запорожская область,4,0,0,3,0,1,0
2021,Ивановская область,4554,284,1848,1213,430,659,120
2021,Иркутская область,8729,305,3555,2394,1124,1186,165
2021,Кабардино-Балкарская Республика,5204,105,3293,1413,206,156,31
2021,Калининградская область,5959,334,2825,1069,716,779,236
2021,Калужская область,5666,563,2919,1082,463,529,110
2021,Камчатский край,1708,102,671,431,212,244,48
